,shopcode,shopname,shoplat,shoplng
7464,eukn,森本木水果茶專家 (五權店),24.14213748,120.63859207
7465,w2ie,巷仔口早午餐,22.63002631,120.3117683
7466,yd4s,好了啦紅茶冰 (金門金城店),24.43167044,118.32209346
7467,jhwm,阮媽媽異國精緻便當,24.20921071,120.56074332
7468,swec,日出客棧-小農鮮奶 (溪湖二溪店),23.9592571,120.4756608
7469,x9tu,妙香園素食,24.0231304,120.5388119
7470,kzmo,異櫥坊手作食堂 (台南富農店),22.9874303,120.2354666
7471,m3wd,達美樂Domino's (竹南民治店),24.6848394,120.8769727
7472,re3i,胖師傅炒飯炒麵,25.06435126,121.43349976
7473,uvnd,可不可熟成紅茶 (高雄西子灣),22.62212456,120.273558
7474,a9kn,漢林鐵板燒 (台中忠勇店),24.15000645,120.6156026
7475,f8go,不想上班早午餐,25.0457344,121.44259951
7476,s6qb,萌虎燒,24.5650495,120.8234125
7477,ncif,Q Burger 早午餐 (桃園德明店),24.9896443,121.3447874
7478,ivta,六扇門 (台中太平店),24.1265437,120.7111454
7479,f4r8,台北大腸紅麵線 (大社翠屏店),22.73077484,120.35176961
7480,o5ee,合樂燒烤,24.6877141,120.9031711
7481,llov,烤不雷無煙燒烤 (高雄陽明店),22.641761,120.341772
7482,or60,二姐生炒羊肉 (新北市三重店),25.08239595,121.4963843
7483,n41p,純•咖哩,23.53378384,120.43661148
7484,uson,美佳香炸雞,24.99110385,121.42205866
7485,n6yj,李銘記烤鴨店,22.50536328,120.39538671
7486,ib4f,肯德基KFC炸雞廚房 (桃園大溪店),24.8965629,121.27859752
7487,g31o,非嚐不可鍋燒,22.96650165,120.22755045
7488,in62,旅晨早餐,24.13563525,120.61031552
7489,d7pz,四海遊龍 (台中霧峰店),24.0634215,120.69724462
7490,aw8i,H-FOODIE 愛尚輕食 l 營養果昔,24.13646714,120.65037728
7491,o6hw,倈喜客日式蓋飯,23.57199947,119.57119357
7492,axmq,榮華燒臘,24.8207888,121.0312889
7493,p6wn,珍品炸烤店,24.91245988,121.145804
7494,a8hg,匠爐鍋燒本舖,24.1727495,120.64523037
7495,nddk,老先覺功夫窯燒鍋 (新店民族MiNi店),24.97882032,121.5413308
7496,ercd,曾氏福建炒麵 (高雄建工店),22.6522831,120.3289711
7497,j9xm,福德永和豆漿,25.06635126,121.6309803
7498,c1gv,Offer oh 昨日花卷,24.15250857,120.6599863
7499,py7m,OMO Chicken韓式炸雞,24.82254265,121.02379019
7500,p1gc,探尋咖啡 (新北新店店),24.98614623,121.5181073
7501,f2kj,早安美芝城 (內埔活力學人店),22.60533925,120.56297225
7502,jsf2,小家菜  輕食餐飲,25.01218825,121.51414524
7503,s5mq,京肴燒肉飯,22.9890049,120.19495159
7504,gjoc,麥味登 (台南新營店),23.30855,120.31222537
7505,m1lj,鍋堂火鍋鍋燒專賣店,22.7422522,120.33884218
7506,qskk,是福氣義大利麵 鍋物,22.9755474,120.23741821
7507,t238,手路炒飯 (萬華萬大店),25.01966396,121.4953163
7508,kbqj,東晏莊生活美食餐館 (炒麵蛋餅),25.07910031,121.39715564
7509,va2j,呷潤餅 (桃園建國店),24.9860148,121.3174671
7510,p9wr,尚珍滷味料理 (彰化和美店),24.1076572,120.4973078
7511,x257,麵屋武藏 (環球購物中心高雄左營),22.6872548,120.3069102
